id,category,date,time,description,name,location,url,photo,notes,confirmed,maps_link_1,maps_link_2
e001,travel,2026-10-05,9:00,London Heathrow → Haneda Airport,British Airways,,,train_plane,,unconfirmed,"https://www.google.com/maps/place/Haneda+Airport/@35.5477009,139.7684885,15z/data=!3m1!4b1!4m6!3m5!1s0x6018640ba43192e3:0xd32c3a9d146f8df!8m2!3d35.5482964!4d139.7779951!16zL20vMDFubG1t!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e002,travel,2026-10-05,,Haneda Airport → Yokohama,Keikyu Aiport Line,,,train_keikyu,,unconfirmed,"https://www.google.com/maps/place/Haneda+Airport/@35.5477009,139.7684885,15z/data=!3m1!4b1!4m6!3m5!1s0x6018640ba43192e3:0xd32c3a9d146f8df!8m2!3d35.5482964!4d139.7779951!16zL20vMDFubG1t!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Yokohama+Station/@35.4656681,139.6203288,17z/data=!3m1!4b1!4m6!3m5!1s0x60185c13a61e5d61:0x11dcccf5b320e9b4!8m2!3d35.4656638!4d139.6229037!16s%2Fg%2F1229dvc7!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D"
e003,planned,2026-10-05,,Yokohama Port Museum,,Yokohama,,yokohama_port_museum,,unconfirmed,"https://www.google.com/maps/place/Yokohama+Port+Museum/@35.4531752,139.6417913,17.29z/data=!4m6!3m5!1s0x60185c5c29a23043:0xeeffb15d802b9a0c!8m2!3d35.4535539!4d139.6328378!16s%2Fg%2F1212rzfc!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e004,planned,2026-10-05,,Cup Noodle Museum,,Yokohama,,cup_noodle,,unconfirmed,"https://www.google.com/maps/place/Cup+Noodles+Museum/@35.4552445,139.6382833,17.29z/data=!4m14!1m7!3m6!1s0x60185c5c29a23043:0xeeffb15d802b9a0c!2sYokohama+Port+Museum!8m2!3d35.4535539!4d139.6328378!16s%2Fg%2F1212rzfc!3m5!1s0x60185c577b6193dd:0x7368667740b93abe!8m2!3d35.4554755!4d139.6388669!16s%2Fg%2F1211cdfm!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e005,unplanned,2026-10-05,,Yokohama Red Brick Warehouse,Urban,Yokohama,,,,unconfirmed,"https://www.google.com/maps/place/Yokohama+Red+Brick+Warehouse/@35.452815,139.6415189,17.29z/data=!3m1!5s0x60185cf9e38b6bb9:0x97fe60bc738ff94c!4m14!1m7!3m6!1s0x60185c5c29a23043:0xeeffb15d802b9a0c!2sYokohama+Port+Museum!8m2!3d35.4535539!4d139.6328378!16s%2Fg%2F1212rzfc!3m5!1s0x60185cf885807149:0x94947dd82acc3d73!8m2!3d35.4526321!4d139.6428944!16s%2Fm%2F03ckcq0!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e006,unplanned,2026-10-05,,Chinatown,Urban,Yokohama,,,,unconfirmed,"https://www.google.com/maps/place/Yokohama+Chinatown/@35.4430926,139.6415252,17z/data=!3m1!4b1!4m6!3m5!1s0x60185cef7b8bffff:0x90abf0214d828f35!8m2!3d35.4430883!4d139.6441001!16zL20vMGJoZDR5!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e007,unplanned,2026-10-05,,Jazz Bar,Urban,Yokohama,,,,unconfirmed,"https://www.google.com/maps/place/Yokohama+Airegin/@35.4480706,139.6320758,17z/data=!3m1!5s0x60185cf6793bcdf9:0x388dff0e9be67d65!4m10!1m2!2m1!1sjazz+bar+yokohama!3m6!1s0x60185cf6793e697b:0x21be4d44b4197ba2!8m2!3d35.4477545!4d139.6352312!15sChFqYXp6IGJhciB5b2tvaGFtYVoTIhFqYXp6IGJhciB5b2tvaGFtYZIBDmxpdmVfbXVzaWNfYmFymgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxb2FWcEhjSGhoVkZwcFZrZGFTV1J0WkhwV2FsWklWakIzTkZKV1JSQULgAQD6AQQIABAk!16s%2Fg%2F1wnf1082!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e008,travel,2026-10-06,,Yokohama → Odawara,JR Tokaido Line,,,train_jrtokaido,,unconfirmed,"https://www.google.com/maps/place/Yokohama+Station/@35.4656681,139.6203288,17z/data=!3m1!4b1!4m6!3m5!1s0x60185c13a61e5d61:0x11dcccf5b320e9b4!8m2!3d35.4656638!4d139.6229037!16s%2Fg%2F1229dvc7!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/Odawara+Station/@35.2499781,139.1348446,13.79z/data=!4m6!3m5!1s0x6019a45625cc38b3:0xc6ca84f1dee37f84!8m2!3d35.2560761!4d139.1557863!16s%2Fg%2F11c1pf9p9d!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D"
e009,unplanned,2026-10-06,,Amazake-Chaya Teahouse,Urban,Hakone,,,,unconfirmed,"https://www.google.com/maps/place/Hakone+Amasake+Chaya+Tea+House/@35.2043035,139.045429,15.54z/data=!4m6!3m5!1s0x6019a2872ce37bed:0xc9733b2b780ed30b!8m2!3d35.2022356!4d139.0487714!16s%2Fg%2F1221mtk8!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
e010,unplanned,2026-10-06,,Hakone Golden Route,Culture,Hakone,,,,unconfirmed,"https://www.google.com/maps/place/Hakone+Shrine/@35.199656,139.0232677,15.58z/data=!4m10!1m2!2m1!1shakone+shrine!3m6!1s0x6019988bcd2ac2b5:0xaae4a36847c7e09a!8m2!3d35.2048263!4d139.0253782!15sCg1oYWtvbmUgc2hyaW5lWg8iDWhha29uZSBzaHJpbmWSAQ1zaGludG9fc2hyaW5lmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJreGFsUnVVa1JUYlhoSlRsZDRUbHBIY0daTldFWTBZVlk1VDFZeFJSQULgAQD6AQQIABAy!16s%2Fm%2F07k8twg!5m1!1e2?entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",
